Accession ID,Country
EPI_ISL_2385256,Russia
EPI_ISL_15880089,Russia
EPI_ISL_15877193,Russia
EPI_ISL_16161189,Russia
EPI_ISL_8908652,Russia
EPI_ISL_15873673,Russia
EPI_ISL_15884111,Russia
EPI_ISL_15876839,Russia
EPI_ISL_6015785,Russia
EPI_ISL_15867749,Russia
EPI_ISL_15864821,Russia
EPI_ISL_427335,Russia
EPI_ISL_15886384,Russia
EPI_ISL_15867463,Russia
EPI_ISL_1510611,Russia
EPI_ISL_15858987,Russia
EPI_ISL_15880242,Russia
EPI_ISL_1919557,Russia
EPI_ISL_15886661,Russia
EPI_ISL_8904317,Russia
EPI_ISL_3932151,Russia
EPI_ISL_15873370,Russia
EPI_ISL_8908103,Russia
EPI_ISL_15858958,Russia
EPI_ISL_6642233,Russia
EPI_ISL_6642080,Russia
EPI_ISL_6901579,Russia
EPI_ISL_2031912,Russia
EPI_ISL_12949519,Russia
EPI_ISL_14596173,Russia
EPI_ISL_6901397,Russia
EPI_ISL_15868929,Russia
EPI_ISL_2450493,Russia
EPI_ISL_15858765,Russia
EPI_ISL_15886427,Russia
EPI_ISL_639921,Russia
EPI_ISL_15869108,Russia
EPI_ISL_15867212,Russia
EPI_ISL_3989193,Russia
EPI_ISL_1372296,Russia
EPI_ISL_9230099,Russia
EPI_ISL_15873431,Russia
EPI_ISL_1627564,Russia
EPI_ISL_6901603,Russia
EPI_ISL_7688606,Russia
EPI_ISL_14596216,Russia
EPI_ISL_15885302,Russia
EPI_ISL_8904444,Russia
EPI_ISL_14424864,Russia
EPI_ISL_15868992,Russia
EPI_ISL_15875717,Russia
EPI_ISL_11865010,Russia
EPI_ISL_639942,Russia
EPI_ISL_2652142,Russia
EPI_ISL_596316,Russia
EPI_ISL_2385401,Russia
EPI_ISL_7688389,Russia
EPI_ISL_8908173,Russia
EPI_ISL_15870066,Russia
EPI_ISL_1859406,Russia
EPI_ISL_2385095,Russia
EPI_ISL_2385174,Russia
EPI_ISL_428912,Russia
EPI_ISL_8109299,Russia
EPI_ISL_12875311,Russia
EPI_ISL_15895507,Russia
EPI_ISL_7952137,Russia
EPI_ISL_14909136,Russia
EPI_ISL_15877012,Russia
EPI_ISL_15874963,Russia
EPI_ISL_15885256,Russia
EPI_ISL_1527364,Russia
EPI_ISL_14909149,Russia
EPI_ISL_8908170,Russia
EPI_ISL_15859052,Russia
EPI_ISL_15874078,Russia
EPI_ISL_15880083,Russia
EPI_ISL_15877288,Russia
EPI_ISL_15896078,Russia
EPI_ISL_16008472,Russia
EPI_ISL_2450495,Russia
EPI_ISL_15891439,Russia
EPI_ISL_1859481,Russia
EPI_ISL_15858772,Russia
EPI_ISL_1664677,Russia
EPI_ISL_9123614,Russia
EPI_ISL_15858687,Russia
EPI_ISL_15884067,Russia
EPI_ISL_8908247,Russia
EPI_ISL_7688385,Russia
EPI_ISL_8908382,Russia
EPI_ISL_733117,Russia
EPI_ISL_15880730,Russia
EPI_ISL_15869960,Russia
EPI_ISL_5524043,Russia
EPI_ISL_1664736,Russia
EPI_ISL_733033,Russia
EPI_ISL_15886164,Russia
EPI_ISL_15866760,Russia
EPI_ISL_2038902,Russia
EPI_ISL_569806,Russia
EPI_ISL_4536632,Russia
EPI_ISL_15873899,Russia
EPI_ISL_15876327,Russia
EPI_ISL_2626310,Russia
EPI_ISL_7717626,Russia
EPI_ISL_15876390,Russia
EPI_ISL_15869018,Russia
EPI_ISL_15858851,Russia
EPI_ISL_15868039,Russia
EPI_ISL_15858289,Russia
EPI_ISL_16008532,Russia
EPI_ISL_451970,Russia
EPI_ISL_11584269,Russia
EPI_ISL_8904181,Russia
EPI_ISL_15871673,Russia
EPI_ISL_15864806,Russia
EPI_ISL_14425233,Russia
EPI_ISL_15875679,Russia
EPI_ISL_815395,Russia
EPI_ISL_15876698,Russia
EPI_ISL_15876991,Russia
EPI_ISL_733168,Russia
EPI_ISL_15895448,Russia
EPI_ISL_15871686,Russia
EPI_ISL_6831861,Russia
EPI_ISL_15874437,Russia
EPI_ISL_16641841,Russia
EPI_ISL_15042611,Russia
EPI_ISL_610243,Russia
EPI_ISL_15866119,Russia
EPI_ISL_6901498,Russia
EPI_ISL_15885454,Russia
EPI_ISL_15137948,Russia
EPI_ISL_15880096,Russia
EPI_ISL_15858332,Russia
EPI_ISL_15858834,Russia
EPI_ISL_569828,Russia
EPI_ISL_733323,Russia
EPI_ISL_1363088,Russia
EPI_ISL_16277734,Russia
EPI_ISL_15863031,Russia
EPI_ISL_8904393,Russia
EPI_ISL_15872384,Russia
EPI_ISL_15885562,Russia
EPI_ISL_1919542,Russia
EPI_ISL_602341,Russia
EPI_ISL_16747420,Russia
EPI_ISL_3101227,Russia
EPI_ISL_6901316,Russia
EPI_ISL_16008436,Russia
EPI_ISL_6831967,Russia
EPI_ISL_733331,Russia
EPI_ISL_1708514,Russia
EPI_ISL_7688489,Russia
EPI_ISL_15170453,Russia
EPI_ISL_15875838,Russia
EPI_ISL_9862182,Russia
EPI_ISL_12949521,Russia
EPI_ISL_15885062,Russia
EPI_ISL_15880272,Russia
EPI_ISL_2523417,Russia
EPI_ISL_15867883,Russia
EPI_ISL_8908704,Russia
EPI_ISL_15886343,Russia
EPI_ISL_3996699,Russia
EPI_ISL_15859073,Russia
EPI_ISL_8109412,Russia
EPI_ISL_6901076,Russia
EPI_ISL_15877083,Russia
EPI_ISL_4536444,Russia
EPI_ISL_15858844,Russia
EPI_ISL_1664709,Russia
EPI_ISL_569788,Russia
EPI_ISL_6887852,Russia
EPI_ISL_15873219,Russia
EPI_ISL_16055027,Russia
EPI_ISL_2385220,Russia
EPI_ISL_15868815,Russia
EPI_ISL_8109233,Russia
EPI_ISL_16641835,Russia
EPI_ISL_1372365,Russia
EPI_ISL_8908150,Russia
EPI_ISL_15874232,Russia
EPI_ISL_15866115,Russia
EPI_ISL_8904536,Russia
EPI_ISL_507240,Russia
EPI_ISL_3375262,Russia
EPI_ISL_15886506,Russia
EPI_ISL_7717134,Russia
EPI_ISL_6831862,Russia
EPI_ISL_3996729,Russia
EPI_ISL_15876642,Russia
EPI_ISL_2964392,Russia
EPI_ISL_15865425,Russia
EPI_ISL_15883705,Russia
EPI_ISL_1664664,Russia
EPI_ISL_733006,Russia
EPI_ISL_15865194,Russia
EPI_ISL_15874012,Russia
EPI_ISL_1919526,Russia
EPI_ISL_15871937,Russia
EPI_ISL_1664681,Russia
EPI_ISL_2385148,Russia
EPI_ISL_6887887,Russia
EPI_ISL_15868918,Russia
EPI_ISL_15880651,Russia
EPI_ISL_8109522,Russia
EPI_ISL_1712248,Russia
EPI_ISL_8904521,Russia
EPI_ISL_15879768,Russia
EPI_ISL_872638,Russia
EPI_ISL_1372384,Russia
EPI_ISL_2031882,Russia
EPI_ISL_8908107,Russia
EPI_ISL_15868341,Russia
EPI_ISL_8109416,Russia
EPI_ISL_15886308,Russia
EPI_ISL_11359578,Russia
EPI_ISL_15872971,Russia
EPI_ISL_6901121,Russia
EPI_ISL_8908485,Russia
EPI_ISL_1491701,Russia
EPI_ISL_596318,Russia
EPI_ISL_15874091,Russia
EPI_ISL_15874515,Russia
EPI_ISL_6192136,Russia
EPI_ISL_15870035,Russia
EPI_ISL_15858596,Russia
EPI_ISL_15332524,Russia
EPI_ISL_1859507,Russia
EPI_ISL_15876578,Russia
EPI_ISL_11359594,Russia
EPI_ISL_15866365,Russia
EPI_ISL_15867966,Russia
EPI_ISL_15883903,Russia
EPI_ISL_8908251,Russia
EPI_ISL_8904796,Russia
EPI_ISL_11267908,Russia
EPI_ISL_8908698,Russia
EPI_ISL_470903,Russia
EPI_ISL_8908418,Russia
EPI_ISL_602428,Russia
EPI_ISL_15858305,Russia
EPI_ISL_8907967,Russia
EPI_ISL_3996847,Russia
EPI_ISL_8908172,Russia
EPI_ISL_15877166,Russia
EPI_ISL_6901145,Russia
EPI_ISL_3101270,Russia
EPI_ISL_602373,Russia
EPI_ISL_596281,Russia
EPI_ISL_15865849,Russia
EPI_ISL_15874864,Russia
EPI_ISL_3989183,Russia
EPI_ISL_2385429,Russia
EPI_ISL_2245774,Russia
EPI_ISL_8109171,Russia
EPI_ISL_596364,Russia
EPI_ISL_15866538,Russia
EPI_ISL_450247,Russia
EPI_ISL_15885600,Russia
EPI_ISL_15877480,Russia
EPI_ISL_15883925,Russia
EPI_ISL_15858508,Russia
EPI_ISL_15874902,Russia
EPI_ISL_596353,Russia
EPI_ISL_428981,Russia
EPI_ISL_450245,Russia
EPI_ISL_15876306,Russia
EPI_ISL_15870071,Russia
EPI_ISL_8908048,Russia
EPI_ISL_6565015,Russia
EPI_ISL_3996853,Russia
EPI_ISL_15866197,Russia
EPI_ISL_596263,Russia
EPI_ISL_428894,Russia
EPI_ISL_6033947,Russia
EPI_ISL_15858763,Russia
EPI_ISL_8908500,Russia
EPI_ISL_15865502,Russia
EPI_ISL_9338725,Russia
EPI_ISL_15869929,Russia
EPI_ISL_1664649,Russia
EPI_ISL_523999,Russia
EPI_ISL_15885648,Russia
EPI_ISL_15886084,Russia
EPI_ISL_15874354,Russia
EPI_ISL_15876410,Russia
EPI_ISL_15871968,Russia
EPI_ISL_639928,Russia
EPI_ISL_15867783,Russia
EPI_ISL_2899769,Russia
EPI_ISL_15880448,Russia
EPI_ISL_4536517,Russia
EPI_ISL_15876495,Russia
EPI_ISL_15877387,Russia
EPI_ISL_15885478,Russia
EPI_ISL_15871818,Russia
EPI_ISL_15873294,Russia
EPI_ISL_15332588,Russia
EPI_ISL_15858703,Russia
EPI_ISL_7717279,Russia
EPI_ISL_1527382,Russia
EPI_ISL_15886402,Russia
EPI_ISL_8908686,Russia
EPI_ISL_2816232,Russia
EPI_ISL_15859089,Russia
EPI_ISL_15873651,Russia
EPI_ISL_15876557,Russia
EPI_ISL_428973,Russia
EPI_ISL_15868856,Russia
EPI_ISL_15866094,Russia
EPI_ISL_15858351,Russia
EPI_ISL_15879858,Russia
EPI_ISL_15862738,Russia
EPI_ISL_10542638,Russia
EPI_ISL_4563931,Russia
EPI_ISL_15858895,Russia
EPI_ISL_15879837,Russia
EPI_ISL_15871320,Russia
EPI_ISL_1859632,Russia
EPI_ISL_2385335,Russia
EPI_ISL_15885261,Russia
EPI_ISL_15886524,Russia
EPI_ISL_1527377,Russia
EPI_ISL_6901279,Russia
EPI_ISL_15872476,Russia
EPI_ISL_2385407,Russia
EPI_ISL_15865951,Russia
EPI_ISL_15883956,Russia
EPI_ISL_2450542,Russia
EPI_ISL_5524083,Russia
EPI_ISL_2523714,Russia
EPI_ISL_15872444,Russia
EPI_ISL_8907794,Russia
EPI_ISL_984655,Russia
EPI_ISL_15876076,Russia
EPI_ISL_15858770,Russia
EPI_ISL_15876915,Russia
EPI_ISL_4536634,Russia
EPI_ISL_15869968,Russia
EPI_ISL_15868947,Russia
EPI_ISL_8908505,Russia
EPI_ISL_427331,Russia
EPI_ISL_3122936,Russia
EPI_ISL_428903,Russia
EPI_ISL_2031877,Russia
EPI_ISL_15858292,Russia
EPI_ISL_1919476,Russia
EPI_ISL_3454078,Russia
EPI_ISL_3101103,Russia
EPI_ISL_15884503,Russia
EPI_ISL_15866212,Russia
EPI_ISL_15883853,Russia
EPI_ISL_6015765,Russia
EPI_ISL_14596202,Russia
EPI_ISL_15869019,Russia
EPI_ISL_15874465,Russia
EPI_ISL_6901460,Russia
EPI_ISL_15874921,Russia
EPI_ISL_15872401,Russia
EPI_ISL_3996790,Russia
EPI_ISL_15877487,Russia
EPI_ISL_8907792,Russia
EPI_ISL_3101097,Russia
EPI_ISL_7688395,Russia
EPI_ISL_602384,Russia
EPI_ISL_8904230,Russia
EPI_ISL_1919495,Russia
EPI_ISL_15858528,Russia
EPI_ISL_569775,Russia
EPI_ISL_6901368,Russia
EPI_ISL_6831851,Russia
EPI_ISL_15858417,Russia
EPI_ISL_15876649,Russia
EPI_ISL_427338,Russia
EPI_ISL_450282,Russia
EPI_ISL_15859030,Russia
EPI_ISL_15871583,Russia
EPI_ISL_2031909,Russia
EPI_ISL_1400541,Russia
EPI_ISL_15874013,Russia
EPI_ISL_15865654,Russia
EPI_ISL_15885555,Russia
EPI_ISL_15864836,Russia
EPI_ISL_15332686,Russia
EPI_ISL_6192543,Russia
EPI_ISL_15874217,Russia
EPI_ISL_9230070,Russia
EPI_ISL_6642220,Russia
EPI_ISL_1859592,Russia
EPI_ISL_8908142,Russia
EPI_ISL_15868097,Russia
EPI_ISL_507290,Russia
EPI_ISL_3996758,Russia
EPI_ISL_13032283,Russia
EPI_ISL_15866235,Russia
EPI_ISL_3989092,Russia
EPI_ISL_16054948,Russia
EPI_ISL_524031,Russia
EPI_ISL_3123021,Russia
EPI_ISL_15872253,Russia
EPI_ISL_15884471,Russia
EPI_ISL_2385351,Russia
EPI_ISL_15880266,Russia
EPI_ISL_15883958,Russia
EPI_ISL_15873101,Russia
EPI_ISL_3989146,Russia
EPI_ISL_9141861,Russia
EPI_ISL_15879981,Russia
EPI_ISL_15880063,Russia
EPI_ISL_8904564,Russia
EPI_ISL_8109469,Russia
EPI_ISL_8904114,Russia
EPI_ISL_15869032,Russia
EPI_ISL_14596185,Russia
EPI_ISL_3989130,Russia
EPI_ISL_11359559,Russia
EPI_ISL_9230073,Russia
EPI_ISL_7717146,Russia
EPI_ISL_1859645,Russia
EPI_ISL_15868842,Russia
EPI_ISL_15868352,Russia
EPI_ISL_596292,Russia
EPI_ISL_8908651,Russia
EPI_ISL_1363103,Russia
EPI_ISL_15868074,Russia
EPI_ISL_6192095,Russia
EPI_ISL_16008524,Russia
EPI_ISL_1919467,Russia
EPI_ISL_9338555,Russia
EPI_ISL_1859721,Russia
EPI_ISL_15883775,Russia
EPI_ISL_15866690,Russia
EPI_ISL_15883796,Russia
EPI_ISL_3086535,Russia
EPI_ISL_15870042,Russia
EPI_ISL_7688493,Russia
EPI_ISL_15885441,Russia
EPI_ISL_15858685,Russia
EPI_ISL_2462880,Russia
EPI_ISL_2385149,Russia
EPI_ISL_15865839,Russia
EPI_ISL_15872108,Russia
EPI_ISL_15840384,Russia
EPI_ISL_15858786,Russia
EPI_ISL_1491631,Russia
EPI_ISL_1372379,Russia
EPI_ISL_3101175,Russia
EPI_ISL_2031880,Russia
EPI_ISL_15875753,Russia
EPI_ISL_2450487,Russia
EPI_ISL_14596265,Russia
EPI_ISL_15858857,Russia
EPI_ISL_15867575,Russia
EPI_ISL_15872308,Russia
EPI_ISL_1712271,Russia
EPI_ISL_15859064,Russia
EPI_ISL_15872661,Russia
EPI_ISL_15866780,Russia
EPI_ISL_15884935,Russia
EPI_ISL_7717112,Russia
EPI_ISL_15875843,Russia
EPI_ISL_15869012,Russia
EPI_ISL_15332593,Russia
EPI_ISL_1039119,Russia
EPI_ISL_733304,Russia
EPI_ISL_15872053,Russia
EPI_ISL_8904066,Russia
EPI_ISL_15886503,Russia
EPI_ISL_8904081,Russia
EPI_ISL_1664761,Russia
EPI_ISL_15858722,Russia
EPI_ISL_8908000,Russia
EPI_ISL_2626376,Russia
EPI_ISL_15873081,Russia
EPI_ISL_3454060,Russia
EPI_ISL_11519273,Russia
EPI_ISL_15877351,Russia
EPI_ISL_15872294,Russia
EPI_ISL_15858835,Russia
EPI_ISL_1491709,Russia
EPI_ISL_8904533,Russia
EPI_ISL_15867948,Russia
EPI_ISL_16746685,Russia
EPI_ISL_733129,Russia
EPI_ISL_15883625,Russia
EPI_ISL_3996692,Russia
EPI_ISL_15868772,Russia
EPI_ISL_1652609,Russia
EPI_ISL_15877067,Russia
EPI_ISL_873030,Russia
EPI_ISL_15876730,Russia
EPI_ISL_6642167,Russia
EPI_ISL_6901261,Russia
EPI_ISL_11503032,Russia
EPI_ISL_1919574,Russia
EPI_ISL_15866323,Russia
EPI_ISL_15858800,Russia
EPI_ISL_15858411,Russia
EPI_ISL_15865155,Russia
EPI_ISL_2964390,Russia
EPI_ISL_15873329,Russia
EPI_ISL_3122915,Russia
EPI_ISL_15880685,Russia
EPI_ISL_15886569,Russia
EPI_ISL_7717527,Russia
EPI_ISL_15875643,Russia
EPI_ISL_2385297,Russia
EPI_ISL_15871816,Russia
EPI_ISL_15871233,Russia
EPI_ISL_3122987,Russia
EPI_ISL_3086638,Russia
EPI_ISL_14596176,Russia
EPI_ISL_2523808,Russia
EPI_ISL_15895454,Russia
EPI_ISL_6901595,Russia
EPI_ISL_15885129,Russia
EPI_ISL_5524080,Russia
EPI_ISL_8908523,Russia
EPI_ISL_15875882,Russia
EPI_ISL_507273,Russia
EPI_ISL_602407,Russia
EPI_ISL_15858979,Russia
EPI_ISL_8908320,Russia
EPI_ISL_2816190,Russia
EPI_ISL_14423798,Russia
EPI_ISL_2816371,Russia
EPI_ISL_15886672,Russia
EPI_ISL_16055319,Russia
EPI_ISL_15869425,Russia
EPI_ISL_2816266,Russia
EPI_ISL_15858613,Russia
EPI_ISL_15867708,Russia
EPI_ISL_15877411,Russia
EPI_ISL_507212,Russia
EPI_ISL_15871948,Russia
EPI_ISL_15865135,Russia
EPI_ISL_15874651,Russia
EPI_ISL_15873125,Russia
EPI_ISL_3007804,Russia
EPI_ISL_15859070,Russia
EPI_ISL_8904762,Russia
EPI_ISL_569843,Russia
EPI_ISL_2385245,Russia
EPI_ISL_15883948,Russia
EPI_ISL_11359602,Russia
EPI_ISL_1372345,Russia
EPI_ISL_2385230,Russia
EPI_ISL_15886193,Russia
EPI_ISL_15880713,Russia
EPI_ISL_15869988,Russia
EPI_ISL_4536545,Russia
EPI_ISL_1664653,Russia
EPI_ISL_16756940,Russia
EPI_ISL_15332642,Russia
EPI_ISL_15858440,Russia
EPI_ISL_2626292,Russia
EPI_ISL_596271,Russia
EPI_ISL_15616814,Russia
EPI_ISL_1859602,Russia
EPI_ISL_1652590,Russia
EPI_ISL_15858945,Russia
EPI_ISL_733249,Russia
EPI_ISL_15886751,Russia
EPI_ISL_15858737,Russia
EPI_ISL_2448667,Russia
EPI_ISL_15873701,Russia
EPI_ISL_8904092,Russia
EPI_ISL_15871861,Russia
EPI_ISL_15874298,Russia
EPI_ISL_15884427,Russia
EPI_ISL_15868994,Russia
EPI_ISL_678274,Russia
EPI_ISL_2626273,Russia
EPI_ISL_2385319,Russia
EPI_ISL_6831952,Russia
EPI_ISL_15872984,Russia
EPI_ISL_2385409,Russia
EPI_ISL_15616476,Russia
EPI_ISL_8904262,Russia
EPI_ISL_15873082,Russia
EPI_ISL_7717274,Russia
EPI_ISL_15874256,Russia
EPI_ISL_15877018,Russia
EPI_ISL_11584117,Russia
EPI_ISL_984651,Russia
EPI_ISL_1859384,Russia
EPI_ISL_2385406,Russia
EPI_ISL_2448706,Russia
EPI_ISL_428899,Russia
EPI_ISL_1664658,Russia
EPI_ISL_3996784,Russia
EPI_ISL_6831850,Russia
EPI_ISL_15868823,Russia
EPI_ISL_7717333,Russia
EPI_ISL_1491623,Russia
EPI_ISL_11865043,Russia
EPI_ISL_15868907,Russia
EPI_ISL_6901383,Russia
EPI_ISL_15863735,Russia
EPI_ISL_15876364,Russia
EPI_ISL_2523672,Russia
EPI_ISL_11359592,Russia
EPI_ISL_15886161,Russia
EPI_ISL_15869907,Russia
EPI_ISL_15883670,Russia
EPI_ISL_16008473,Russia
EPI_ISL_15875657,Russia
EPI_ISL_15877352,Russia
EPI_ISL_15866276,Russia
EPI_ISL_733252,Russia
EPI_ISL_15866382,Russia
EPI_ISL_430111,Russia
EPI_ISL_15872426,Russia
EPI_ISL_869262,Russia
EPI_ISL_8904208,Russia
EPI_ISL_16008467,Russia
EPI_ISL_15858529,Russia
EPI_ISL_2626227,Russia
EPI_ISL_15874601,Russia
EPI_ISL_15874367,Russia
EPI_ISL_4536649,Russia
EPI_ISL_2899814,Russia
EPI_ISL_2698515,Russia
EPI_ISL_3919729,Russia
EPI_ISL_2385200,Russia
EPI_ISL_6192650,Russia
EPI_ISL_3996820,Russia
EPI_ISL_15874720,Russia
EPI_ISL_14596293,Russia
EPI_ISL_1627566,Russia
EPI_ISL_733060,Russia
EPI_ISL_8109509,Russia
EPI_ISL_3101253,Russia
EPI_ISL_15895508,Russia
EPI_ISL_3996724,Russia
EPI_ISL_15869981,Russia
EPI_ISL_8908140,Russia
EPI_ISL_15873423,Russia
EPI_ISL_8109293,Russia
EPI_ISL_11742578,Russia
EPI_ISL_3996911,Russia
EPI_ISL_15858498,Russia
EPI_ISL_8904555,Russia
EPI_ISL_15880649,Russia
EPI_ISL_15883870,Russia
EPI_ISL_6901382,Russia
EPI_ISL_872912,Russia
EPI_ISL_15885006,Russia
EPI_ISL_2523568,Russia
EPI_ISL_8904624,Russia
EPI_ISL_11359558,Russia
EPI_ISL_15332679,Russia
EPI_ISL_8904512,Russia
EPI_ISL_8904755,Russia
EPI_ISL_16078070,Russia
EPI_ISL_1712244,Russia
EPI_ISL_15879851,Russia
EPI_ISL_2899817,Russia
EPI_ISL_15885304,Russia
EPI_ISL_507225,Russia
EPI_ISL_15874040,Russia
EPI_ISL_450266,Russia
EPI_ISL_733180,Russia
EPI_ISL_15885728,Russia
EPI_ISL_2031870,Russia
EPI_ISL_1527366,Russia
EPI_ISL_450249,Russia
EPI_ISL_15872325,Russia
EPI_ISL_2816176,Russia
EPI_ISL_8189512,Russia
EPI_ISL_15874493,Russia
EPI_ISL_8904074,Russia
EPI_ISL_3101279,Russia
EPI_ISL_3086572,Russia
EPI_ISL_15871275,Russia
EPI_ISL_15883904,Russia
EPI_ISL_15866757,Russia
EPI_ISL_7952140,Russia
EPI_ISL_4536512,Russia
EPI_ISL_524008,Russia
EPI_ISL_8109191,Russia
EPI_ISL_427325,Russia
EPI_ISL_754204,Russia
EPI_ISL_15885173,Russia
EPI_ISL_9123603,Russia
EPI_ISL_872905,Russia
EPI_ISL_1664732,Russia
EPI_ISL_15332582,Russia
EPI_ISL_8904578,Russia
EPI_ISL_3122910,Russia
EPI_ISL_14596292,Russia
EPI_ISL_15874789,Russia
EPI_ISL_15871524,Russia
EPI_ISL_6831946,Russia
EPI_ISL_8904288,Russia
EPI_ISL_3989072,Russia
EPI_ISL_15885700,Russia
EPI_ISL_6831951,Russia
EPI_ISL_15873246,Russia
EPI_ISL_8904895,Russia
EPI_ISL_6901575,Russia
